score,state,gender,age,patrimony,balance,products,credit_card,active,approved_credit
773,SC,Masculino,41,9,10282744,1,0,1,0
814,PR,Masculino,29,8,970864,2,1,1,0
710,SC,Masculino,22,8,0,2,0,0,0
413,RS,Masculino,34,9,0,2,0,0,0
665,RS,Feminino,40,6,0,1,1,1,0
623,RS,Feminino,44,6,0,2,0,0,0
738,RS,Masculino,31,9,8267415,1,1,0,0
528,SC,Masculino,36,7,0,2,1,0,0
670,SC,Feminino,65,1,0,1,1,1,1
622,SC,Feminino,46,4,10707327,2,1,1,1
582,PR,Masculino,32,1,8893862,1,1,1,0
785,PR,Feminino,36,2,9980685,1,0,1,0
605,SC,Masculino,33,5,1500928,1,0,0,0
479,PR,Masculino,35,9,9283389,1,1,0,1
685,PR,Masculino,30,3,9053681,1,0,1,0
538,PR,Masculino,39,7,1080551,2,1,0,0
562,RS,Masculino,42,2,10023835,1,0,0,0
675,SC,Masculino,36,9,10619055,1,0,1,0
721,PR,Masculino,28,9,15447554,2,0,1,1
628,PR,Feminino,30,9,13235129,2,1,1,0
668,PR,Feminino,37,6,1678644,1,1,0,0
506,RS,Feminino,41,1,0,2,1,0,0
524,PR,Feminino,31,8,10781863,1,1,0,1
699,PR,M,34,4,18517381,2,1,0,0
828,RS,Masculino,34,8,12943334,2,0,0,0
674,SC,Masculino,39,6,12019342,1,0,0,0
656,RS,Feminino,39,6,0,2,1,0,0
684,PR,Feminino,48,10,12638442,1,1,1,0
625,RS,Feminino,28,3,0,1,0,0,0
432,RS,Masculino,42,9,15260345,1,1,0,1
549,RS,Feminino,52,1,0,1,0,1,1
625,PR,Masculino,56,0,14850724,1,1,0,1
828,RS,Feminino,41,7,0,2,1,0,0
770,RS,Masculino,24,9,10182707,1,1,0,0
758,RS,Feminino,34,3,0,2,1,1,0
795,PR,F,33,9,13086243,1,1,1,0
687,RS,Masculino,38,9,12257087,1,1,1,0
686,RS,Masculino,25,1,0,2,0,1,0
789,PR,Masculino,39,7,12482846,2,1,1,0
589,PR,Feminino,50,5,14489505,2,1,1,0
461,PR,Feminino,34,5,6366393,1,0,1,0
637,RS,Masculino,40,2,1334631,1,0,1,0
584,SC,Feminino,48,2,2131462,1,1,0,1
579,SC,Feminino,35,1,12949036,2,0,1,1
756,PR,Masculino,44,10,13745209,1,1,0,0
663,RS,Fem,34,7,0,2,1,1,0
682,RS,Feminino,43,5,12585193,1,1,1,0
793,SC,Masculino,52,2,0,1,1,0,1
691,RS,Feminino,31,5,4091555,1,1,0,1
485,SC,Feminino,21,5,11315722,1,1,1,0
635,SC,Feminino,29,8,13829694,2,1,0,0
650,RS,Masculino,37,5,10696718,1,0,0,0
735,RS,Masculino,44,9,12068163,1,1,0,0
416,RS,Masculino,32,0,0,2,0,1,0
754,SC,Feminino,32,7,0,2,1,0,0
535,RS,Feminino,48,9,0,1,1,0,1
716,SC,Masculino,42,8,0,2,1,0,0
539,RS,Masculino,37,2,12760959,1,1,0,0
614,RS,Feminino,43,6,0,2,1,1,0
706,SC,Masculino,57,7,0,1,1,0,1
758,RS,Feminino,33,7,0,2,0,0,0
586,SC,Feminino,28,2,0,2,1,1,0
646,RS,Feminino,73,6,9725925,1,0,1,0
631,PR,Feminino,33,4,1232467,1,0,0,0
717,SC,Feminino,22,6,10106025,1,0,1,0
684,RS,Masculino,30,2,0,2,1,0,0
800,RS,Feminino,49,7,10800736,1,0,0,0
721,SC,Feminino,36,2,0,2,1,1,0
683,SC,Masculino,29,0,13370289,1,1,0,1
660,PR,Masculino,31,9,12518975,2,1,1,0
704,PR,Feminino,24,7,11303422,1,1,0,1
615,SC,Feminino,41,9,10901323,1,1,0,0
667,SC,Feminino,39,2,0,2,1,0,1
682,PR,Masculino,24,9,5792981,2,0,0,0
484,RS,Feminino,29,4,13011439,1,1,0,0
628,PR,Masculino,27,5,9582649,2,1,0,0
480,PR,Masculino,44,10,12960857,1,1,0,1
578,RS,Masculino,30,4,16946209,1,1,0,0
512,RS,Masculino,40,5,0,2,1,1,0
484,SC,Feminino,35,7,13386821,1,1,1,0
510,RS,Feminino,30,0,0,2,1,1,0
606,PR,Masculino,36,5,19047948,2,0,0,0
597,SC,Feminino,40,8,10199312,1,0,1,0
754,PR,Feminino,55,3,16160881,1,1,0,1
850,SC,Feminino,45,2,12231121,1,1,1,0
510,RS,Masculino,65,2,0,2,1,1,0
778,PR,Feminino,45,1,16215042,2,1,0,0
636,RS,Masculino,42,2,0,2,1,1,0
804,RS,Feminino,50,4,0,1,1,1,1
514,RS,Masculino,32,8,0,2,1,0,0
730,RS,Feminino,39,1,9901067,1,1,0,0
525,SC,Feminino,37,0,0,1,0,1,0
616,SC,Masculino,30,5,0,2,0,1,0
687,PR,Feminino,34,7,11138818,2,1,0,0
715,RS,Feminino,41,8,5621485,2,0,0,1
512,RS,Feminino,36,3,8432777,2,1,0,0
479,RS,Masculino,40,1,0,2,0,0,0
601,RS,Masculino,32,8,9301289,1,1,0,0
580,SC,Masculino,29,9,6171044,2,1,0,0
807,RS,Masculino,35,3,17479015,1,1,1,0
616,SC,Feminino,32,6,0,2,1,1,0
721,PR,Masculino,37,3,10772064,1,1,1,0
501,RS,Masculino,57,10,0,2,1,1,0
521,RS,Masculino,35,6,9642384,1,1,0,0
850,SC,Masculino,30,2,14104001,1,1,1,0
759,RS,Masculino,42,4,10542018,1,0,1,0
516,SC,Masculino,50,5,0,1,0,1,1
711,RS,Feminino,38,2,12902206,2,1,1,1
512,SC,Masculino,33,3,17666662,1,1,0,0
550,RS,Masculino,37,3,0,1,1,1,0
608,SC,Feminino,41,3,8976384,1,0,0,1
618,RS,Masculino,34,5,13495453,1,1,1,0
643,RS,Masculino,45,5,0,1,1,0,1
671,RS,Masculino,45,2,10637685,1,0,1,0
689,PR,Masculino,33,2,16181464,2,1,0,0
603,RS,Masculino,31,8,0,2,1,1,0
620,RS,Feminino,41,9,0,2,0,0,0
676,RS,,34,1,6309501,1,1,1,0
572,PR,Masculino,26,4,11828701,2,0,0,0
668,PR,Masculino,47,7,10685421,1,0,1,1
695,RS,Masculino,46,7,4951255,1,1,0,0
730,SC,Feminino,33,9,0,2,0,0,0
807,RS,Masculino,43,1,10579932,2,1,0,1
592,RS,Masculino,54,8,0,1,1,1,1
726,RS,Feminino,31,9,11472205,2,1,1,0
514,SC,Masculino,30,7,0,1,0,1,0
567,RS,Masculino,42,2,0,2,1,1,0
850,RS,Masculino,33,10,0,1,1,0,1
671,PR,Masculino,45,6,9956422,1,1,1,1
670,RS,Masculino,37,4,17055791,2,1,0,0
694,RS,Feminino,30,9,0,2,1,1,0
547,PR,Feminino,39,6,7459615,3,1,1,1
751,PR,Masculino,50,2,9688839,1,1,0,1
594,PR,Feminino,29,3,13083022,1,1,0,0
673,RS,Masculino,72,1,0,2,0,1,0
610,RS,Masculino,40,0,0,2,1,0,0
512,RS,Feminino,37,1,0,2,0,1,0
767,PR,Masculino,20,3,11971425,2,0,1,0
585,RS,Feminino,67,5,11397897,2,0,1,0
763,PR,Masculino,42,6,10016075,1,1,0,1
712,RS,Feminino,29,2,0,1,1,1,0
539,PR,Feminino,43,3,1162205,3,1,0,1
668,RS,Feminino,46,2,0,3,1,0,1
703,RS,Masculino,28,2,8117383,2,0,1,0
662,SC,Masculino,38,4,0,2,1,0,0
725,PR,Feminino,39,5,1168038,1,1,0,0
703,RS,Masculino,37,8,10596168,2,0,1,0
659,PR,Masculino,67,6,1174116,1,1,1,1
523,SC,Masculino,34,7,0,2,1,0,0
635,RS,Feminino,40,10,12349758,1,1,0,1
772,PR,Masculino,26,7,15240051,2,1,0,0
545,RS,Feminino,26,1,0,2,1,1,0
634,PR,Masculino,24,8,10309785,1,1,1,0
739,PR,Masculino,54,8,12641814,1,1,0,1
771,PR,Feminino,36,5,778469,1,0,0,0
587,SC,Feminino,34,1,0,2,1,1,0
681,RS,Feminino,79,0,0,2,0,1,0
544,PR,Masculino,37,2,7973191,1,1,1,0
696,SC,Masculino,28,8,0,1,0,0,0
766,SC,Masculino,41,0,0,2,0,1,0
727,RS,Masculino,34,10,0,2,1,1,0
671,PR,Feminino,34,6,3726667,2,0,0,0
693,RS,Feminino,30,6,12799225,1,1,1,0
850,PR,Masculino,38,3,5490101,1,1,1,0
732,PR,Masculino,42,9,10874808,2,1,1,0
726,SC,Feminino,48,6,9990619,1,1,0,0
557,RS,Feminino,32,6,18468641,2,1,0,0
682,RS,Feminino,26,0,11065402,1,0,1,0
738,SC,Masculino,31,9,790198,1,1,1,0
531,SC,Feminino,36,9,9924051,1,1,0,0
498,RS,Masculino,34,2,0,2,1,1,0
651,RS,Masculino,36,7,0,2,1,0,0
549,SC,Feminino,39,7,0,1,0,0,1
791,PR,Feminino,35,7,524362,1,1,0,0
650,SC,Masculino,41,9,0,2,0,1,0
733,PR,Masculino,34,3,10033796,3,1,0,1
811,PR,Feminino,34,1,14929719,2,1,1,0
707,RS,Masculino,30,8,0,2,1,0,0
712,PR,Masculino,28,4,14560544,1,0,1,0
706,SC,Feminino,37,7,0,2,1,1,0
756,RS,Masculino,62,3,0,1,1,1,1
777,RS,Feminino,53,10,0,2,1,0,0
646,RS,Masculino,35,6,8402686,1,0,1,0
714,RS,Masculino,46,1,0,1,1,0,1
782,RS,Masculino,39,8,0,2,1,1,0
775,SC,Masculino,29,10,0,2,1,1,0
479,PR,Masculino,35,4,13871892,1,1,1,1
807,RS,Masculino,42,7,11827471,1,1,1,0
799,RS,Feminino,22,8,17418598,2,0,1,0
675,RS,Masculino,40,7,11320886,2,1,0,0
602,SC,Masculino,29,5,10390728,1,1,0,0
475,RS,Feminino,32,8,11902328,1,1,0,0
744,SC,Feminino,26,5,16629789,1,1,1,0
588,SC,Masculino,34,10,0,2,1,0,0
703,PR,Masculino,42,9,63227,1,0,1,0
747,SC,Feminino,41,5,9452117,2,1,0,0
583,RS,Masculino,27,7,0,2,1,0,0
750,SC,Feminino,34,9,11282226,1,0,0,1
681,RS,Masculino,38,3,0,2,1,1,0
773,RS,Masculino,25,2,13590333,1,1,0,0
714,RS,,31,4,12516926,1,1,1,0
687,SC,Feminino,44,7,0,3,1,0,1
511,RS,Masculino,58,0,14911731,1,1,1,0
627,RS,Masculino,33,5,0,2,1,1,0
694,RS,Feminino,31,10,0,2,1,0,0
616,SC,Feminino,36,6,13231171,1,0,0,0
687,RS,Masculino,35,8,0,2,1,0,0
712,RS,Feminino,33,6,0,2,1,1,0
553,RS,Masculino,33,4,11808289,1,0,0,0
667,RS,Masculino,31,1,11926669,1,1,1,0
731,RS,Masculino,43,2,0,1,1,1,1
629,PR,Masculino,35,7,15684729,2,1,0,0
614,RS,Masculino,50,4,13710447,1,1,0,1
438,PR,Masculino,31,8,7839869,1,1,0,0
652,RS,Feminino,80,4,0,2,1,1,0
729,PR,Masculino,30,6,6366942,1,1,0,0
642,RS,Masculino,38,3,0,2,0,0,0
806,PR,Feminino,59,0,13529633,1,1,0,0
744,SC,Masculino,36,2,15380444,1,1,1,0
474,SC,Masculino,37,3,0,2,0,0,0
559,RS,Masculino,49,2,14706978,1,1,0,1
706,SC,Masculino,42,9,0,2,1,1,0
628,SC,Feminino,22,3,0,1,1,0,0
429,RS,Masculino,24,4,9574175,1,1,0,0
525,SC,Feminino,57,2,14596533,1,1,1,0
680,RS,Feminino,30,8,14144175,1,1,1,0
749,RS,Masculino,40,1,13929041,1,1,0,1
763,RS,Feminino,31,4,0,2,0,0,0
734,RS,Masculino,30,3,0,2,1,0,0
716,RS,Masculino,35,4,14442887,1,1,0,0
594,RS,Masculino,35,2,0,2,1,0,0
644,RS,Feminino,46,9,9544127,1,1,0,1
671,PR,Masculino,35,1,14484874,1,1,1,0
664,PR,Masculino,26,7,11624414,2,1,1,0
656,RS,Masculino,50,7,0,2,0,1,0
667,SC,Feminino,40,1,14650207,1,1,0,0
663,PR,Masculino,44,2,1170286,2,0,1,0
584,PR,Feminino,30,8,11201381,1,1,0,1
626,SC,Feminino,37,6,10826937,1,1,0,0
485,RS,Masculino,29,7,18212379,1,1,0,1
659,PR,Feminino,32,3,15092374,2,0,1,0
649,RS,Masculino,33,2,0,2,1,0,0
805,SC,Feminino,39,5,16527213,1,1,0,1
716,PR,Feminino,39,10,11530131,1,1,0,1
642,PR,Feminino,40,6,12950249,2,0,1,1
659,RS,Masculino,31,4,11834226,1,0,0,0
545,SC,Feminino,47,5,0,2,1,1,0
543,RS,Masculino,22,8,0,2,0,0,0
718,RS,Feminino,25,7,0,2,1,0,0
840,RS,Feminino,43,7,0,2,1,0,0
630,PR,Feminino,34,9,10693705,2,1,0,0
643,PR,Masculino,59,3,17033137,1,1,1,0
654,PR,Feminino,32,1,11451085,1,1,1,0
582,RS,Masculino,39,5,0,2,1,1,0
659,SC,Masculino,32,3,10759411,2,1,1,0
762,SC,Masculino,39,2,8127313,1,1,1,0
568,SC,Feminino,32,7,1693996,1,1,0,0
670,SC,Masculino,25,6,0,2,1,1,0
613,RS,Feminino,45,1,18784199,2,1,1,0
539,RS,Masculino,30,0,0,2,1,0,0
850,SC,Feminino,57,8,1267763,2,1,1,0
522,SC,Masculino,34,9,12643629,1,1,0,1
737,RS,Masculino,41,1,10196074,1,1,1,0
520,RS,Masculino,58,3,0,2,0,1,0
706,SC,Masculino,28,3,0,2,0,1,0
643,PR,Feminino,45,2,15084293,1,0,1,1
648,RS,Feminino,50,9,10253557,1,1,1,0
443,PR,Feminino,29,9,9902761,2,1,0,0
640,RS,Masculino,68,9,0,2,1,1,0
628,SC,Feminino,33,3,0,1,1,1,0
540,PR,Feminino,42,9,8727141,2,1,0,0
460,PR,Feminino,35,8,10274291,2,1,1,0
636,PR,Masculino,34,2,4010551,2,0,1,0
593,RS,Feminino,29,2,15226543,1,1,0,0
801,SC,,42,4,14194767,1,1,1,0
640,PR,Feminino,75,1,10630791,2,0,1,0
611,PR,Masculino,31,0,10788481,2,1,1,0
802,PR,Masculino,31,1,12501372,1,1,1,0
717,PR,Masculino,35,7,5846937,2,1,1,0
769,RS,Feminino,39,8,0,1,0,1,0
745,PR,Masculino,45,10,11723163,3,1,1,1
572,SC,Masculino,35,4,15239026,1,1,0,0
629,SC,Feminino,30,2,3401363,1,1,0,0
687,SC,Feminino,39,2,0,3,0,0,1
483,RS,Feminino,50,9,0,2,1,1,0
690,RS,Masculino,36,7,10158311,2,1,0,0
492,PR,Feminino,30,10,7716887,2,0,1,0
709,PR,Masculino,28,8,12469572,2,1,0,0
705,PR,Masculino,44,3,10593496,1,1,0,0
560,RS,Feminino,66,9,0,1,1,1,0
611,SC,Masculino,46,6,0,2,1,0,0
730,SC,Masculino,62,2,0,2,1,1,0
709,SC,Feminino,45,2,0,2,0,1,0
544,RS,Feminino,21,10,16152596,2,1,0,0
712,PR,Feminino,29,7,14719907,1,1,1,0
752,PR,Masculino,38,3,18310229,1,1,1,0
648,SC,Masculino,46,9,127209,2,1,0,1
556,SC,Masculino,38,8,0,2,0,0,1
594,SC,Feminino,24,0,9737854,1,1,1,0
645,PR,Feminino,37,2,13692509,2,0,1,0
557,RS,Masculino,33,3,5450355,1,1,1,0
547,PR,Masculino,32,8,15572685,1,1,0,0
701,RS,Feminino,39,9,0,2,0,1,0
616,RS,Feminino,66,1,13584241,1,1,0,1
605,RS,Masculino,52,1,6334975,1,1,0,0
593,PR,Feminino,38,4,12949942,1,1,1,0
751,SC,Masculino,52,8,0,2,0,1,0
443,SC,Masculino,36,6,7043801,2,0,1,0
685,RS,Masculino,23,8,0,2,1,1,0
718,RS,Masculino,36,9,0,1,1,0,0
538,SC,Feminino,49,9,14143404,1,0,0,1
611,SC,Feminino,37,4,0,2,1,0,0
668,PR,Masculino,37,10,15295829,2,1,1,0
537,PR,Feminino,41,3,13830634,1,1,0,0
709,SC,Masculino,23,10,0,2,0,0,0
850,RS,Masculino,38,1,0,2,1,1,0
745,SC,Feminino,31,3,12432884,1,1,1,0
693,PR,Feminino,41,9,18146148,3,1,1,1
795,SC,Masculino,35,8,0,2,1,0,0
626,SC,Masculino,26,8,0,2,0,0,0
487,PR,Feminino,61,5,11036803,1,0,0,1
556,RS,Feminino,39,9,8958835,1,1,1,0
643,RS,Feminino,46,6,0,2,0,0,0
605,RS,Feminino,28,6,0,2,0,0,0
756,PR,Feminino,60,3,11592489,1,1,0,1
586,RS,Feminino,38,2,0,2,1,0,0
535,PR,Masculino,40,7,1117565,1,1,0,1
678,RS,Feminino,35,4,0,1,1,0,0
596,RS,Masculino,39,9,0,1,1,0,0
648,RS,Masculino,26,9,16292385,1,1,0,0
492,PR,Masculino,39,10,12457665,2,1,0,0
702,RS,Masculino,45,0,8079358,1,1,1,0
486,PR,Feminino,40,9,7134009,1,1,0,0
568,PR,Masculino,40,1,9928263,1,0,0,1
619,PR,Masculino,57,3,13794639,1,1,1,1
724,PR,Masculino,41,2,12789257,2,0,1,0
548,PR,Feminino,33,0,10108436,1,1,0,0
545,PR,Feminino,37,8,11475408,1,1,0,1
683,RS,Masculino,33,8,0,1,0,0,0
762,RS,Feminino,51,3,9928698,1,0,1,0
627,PR,Feminino,30,4,7987102,2,1,0,0
516,RS,Masculino,35,10,10408859,2,0,0,0
800,RS,Feminino,38,2,16819033,2,1,0,0
464,PR,Feminino,42,3,8567925,1,1,1,0
626,RS,Feminino,35,3,0,1,0,0,0
790,RS,Feminino,31,9,0,2,1,0,0
534,RS,Feminino,34,7,12155158,2,1,1,0
745,RS,Masculino,46,2,12222019,1,1,1,0
553,SC,Masculino,47,3,11652815,1,0,0,1
748,RS,Feminino,26,1,7778029,1,0,1,0
722,RS,Masculino,37,2,0,1,0,0,0
501,RS,Masculino,40,4,1258322,1,1,1,0
675,RS,Feminino,38,6,680658,1,0,0,1
778,SC,Feminino,47,6,12729934,2,1,0,0
494,PR,Feminino,38,7,17493764,1,1,0,0
850,RS,Masculino,40,9,0,2,0,1,0
592,SC,Masculino,31,7,1100711,1,0,0,0
590,SC,Feminino,44,3,13943237,1,1,0,0
758,RS,Feminino,39,6,12735776,1,0,1,0
506,RS,Masculino,36,5,0,2,1,0,0
733,RS,Masculino,33,3,0,1,1,1,0
711,RS,Masculino,38,3,0,2,1,0,0
514,PR,Masculino,43,1,9555631,1,0,1,1
637,SC,Masculino,37,8,0,1,1,1,0
468,PR,Masculino,29,1,11168198,2,1,1,0
539,RS,Masculino,39,3,0,2,1,0,0
509,SC,Feminino,25,3,10873871,2,1,0,0
662,RS,Feminino,32,4,13395037,1,1,1,1
818,SC,Masculino,26,4,0,2,1,1,0
608,RS,Masculino,33,9,8996869,1,1,0,0
850,SC,Feminino,32,9,0,2,1,1,0
816,PR,Feminino,38,5,13087875,3,1,0,1
536,RS,Masculino,35,8,0,2,1,0,0
753,RS,Masculino,35,3,0,2,1,1,0
631,SC,Masculino,27,10,13416962,1,1,1,0
703,RS,Masculino,37,1,14976208,1,1,0,1
774,RS,Masculino,26,2,9384469,1,1,0,0
785,RS,Masculino,28,8,0,2,1,0,0
571,RS,Feminino,33,1,0,2,1,0,0
621,PR,Masculino,46,6,14107837,1,0,0,1
605,PR,Feminino,31,1,11799259,1,1,1,0
611,RS,Feminino,40,8,10081233,2,1,0,0
569,RS,Masculino,38,7,0,1,1,1,0
658,RS,Masculino,29,4,802626,1,1,1,0
788,SC,Masculino,34,6,15647862,1,0,1,0
525,RS,Feminino,23,5,0,2,1,0,0
798,RS,Masculino,37,8,0,3,0,0,0
486,PR,Masculino,37,9,11521799,2,1,0,0
615,SC,Masculino,61,9,0,2,1,0,1
730,RS,Feminino,35,0,15547055,1,1,1,0
641,RS,Masculino,37,7,0,2,1,0,0
542,RS,Masculino,39,3,13509677,1,1,1,1
692,RS,Masculino,30,2,0,2,0,1,0
714,PR,Feminino,55,9,18007522,1,1,1,0
591,SC,Masculino,29,1,9754124,1,1,1,0
710,RS,Feminino,41,2,15606705,1,1,1,0
639,RS,Feminino,38,4,8155094,2,0,1,0
531,RS,Feminino,47,6,0,1,0,0,1
673,RS,Feminino,38,2,17006192,2,0,0,1
765,PR,Masculino,36,8,9231054,2,1,1,0
622,RS,Feminino,32,6,16908938,2,1,0,0
806,RS,Masculino,40,5,8061393,1,1,1,0
757,PR,Masculino,26,8,12158156,2,1,1,0
570,RS,Feminino,58,8,0,1,0,1,1
555,SC,Masculino,32,4,0,2,1,1,0
692,RS,,54,5,0,2,1,1,0
774,RS,Masculino,60,5,8589155,1,1,0,1
638,SC,Masculino,44,9,7763735,2,1,1,0
543,SC,Feminino,41,4,0,1,0,0,0
584,RS,Masculino,31,5,0,2,1,0,0
691,PR,Masculino,30,7,11692789,1,1,0,0
684,PR,Feminino,40,6,13732665,1,1,0,0
733,RS,Masculino,22,5,0,2,1,1,0
599,SC,Feminino,37,2,0,2,1,1,0
524,PR,Feminino,31,10,6723898,2,1,1,0
632,PR,Feminino,38,6,8656976,2,1,0,0
735,SC,Masculino,34,5,0,2,0,0,0
734,RS,Masculino,34,6,1335984,1,1,1,0
605,RS,Feminino,51,3,13618878,1,1,1,1
793,SC,Masculino,38,9,0,2,1,0,0
468,RS,Feminino,56,10,0,3,0,1,1
779,PR,Masculino,37,7,12009252,2,1,0,0
698,RS,Masculino,48,4,10123824,2,0,1,1
707,RS,Masculino,58,6,8968592,1,0,1,0
850,RS,Feminino,35,1,21177431,1,1,0,1
850,RS,Masculino,56,7,13131748,1,1,1,0
527,SC,Masculino,37,5,9372273,2,1,1,0
696,PR,Masculino,32,8,10116099,1,1,1,0
661,RS,Masculino,48,3,12032054,1,0,0,0
776,RS,Feminino,31,2,0,2,1,1,0
701,RS,Masculino,43,2,0,2,1,1,0
610,RS,Masculino,26,8,0,2,1,0,0
572,PR,Feminino,48,3,15282799,1,1,0,1
673,RS,Masculino,30,1,6409775,1,1,1,0
519,SC,Feminino,57,2,11903535,2,1,1,0
702,SC,Feminino,26,4,13521957,1,0,1,0
729,RS,Masculino,32,6,9369442,1,1,1,0
543,SC,Masculino,35,10,5940863,1,1,0,0
550,RS,Feminino,40,7,11435495,1,1,0,0
608,RS,Masculino,59,1,0,1,1,0,1
639,PR,Masculino,35,10,1281739,2,1,0,0
686,SC,Masculino,34,9,0,2,1,0,0
564,PR,Feminino,62,5,11493135,3,0,1,1
745,PR,Feminino,28,1,11107136,1,1,0,1
833,RS,Masculino,37,8,15122618,2,1,1,0
622,RS,Masculino,26,9,0,2,1,1,0
597,RS,Feminino,42,4,6474012,1,1,1,0
721,SC,Masculino,51,0,16931213,1,1,0,1
504,RS,Feminino,49,7,0,3,0,1,1
842,SC,Feminino,44,2,11265208,2,1,0,0
587,RS,Masculino,38,0,0,2,1,0,0
479,PR,Feminino,30,7,14396436,2,1,0,0
508,RS,Masculino,49,7,12245146,2,1,1,0
749,RS,Masculino,24,1,0,3,1,1,0
721,PR,Feminino,36,3,6525307,2,1,0,0
674,PR,Masculino,47,6,10690194,1,1,1,1
685,SC,Feminino,25,10,12850963,1,1,0,0
